wuu,yue,count
箇墶老,呢度好,2
墶老远,度好远,2
老远个,好远㗎,2
远个-,远㗎喎,2
我从来,我--,1
从来呒,--冇,1
来呒没,-冇见,1
呒没看,冇见-,1
没看过,见-过,1
看过伊,-过佢,1
过伊穿,过佢着,1
伊穿牛,佢着牛,1
穿牛仔,着牛仔,1
牛仔裤,牛仔裤,1
京都有,京都有,1
都有老,都有好,1
有老多,有好多,1
老多个,好多-,1
多个神,多-神,1
个神社,-神社,1
我--,我嗰阵,1
--当,嗰阵时,1
-当辰,阵时唔,1
当辰光,时唔-,1
辰光勿,唔--,1
光勿晓,---,1
勿晓得,--知,1
晓得该,-知点,1
得该哪,知点做,1
该哪能,点做先,1
哪能办,做先好,1
-滚蛋,躝开啦,1
伊个母,佢嘅母,1
个母语,嘅母语,1
母语是,母语系,1
语是法,语系法,1
是法国,系法文,1
法国闲,法文-,1
国闲话,文--,1
哀个垃,---,1
个垃海,---,1
垃海拉,--拉,1
海拉-,-拉紧,1
拉-小,拉紧小,1
-小提,紧小提,1
小提琴,小提琴,1
提琴-,提琴嗰,1
琴-个,琴嗰个,1
-个男,嗰个-,1
个男人,个-人,1
男人是,-人系,1
-人-,啲人个,1
人-人,人个个,1
-人侪,个个都,1
人侪讲,个都话,1
侪讲我,都话我,1
讲我看,话我-,1
我看上,我--,1
看上起,--同,1
上起像,-同我,1
起像阿,同我老,1
像阿拉,我老豆,1
阿拉爸,老豆好,1
拉爸爸,豆好似,1
爸爸-,好似样,1
我垃-,我喺度,1
垃-海,喺度帮,1
-海浇,度帮紧,1
海浇-,帮紧啲,1
浇-花,紧啲花,1
-花-,啲花淋,1
花--,花淋水,1
静一点,静D-,1
一点好,D-啦,1
点好伐,-啦-,1
我勿是,我唔系,1
勿是魔,唔系魔,1
是魔法,系魔术,1
魔法师,魔术师,1
侬哪恁,-搞咩,1
哪恁勒,搞咩呀,1
恁勒啦,咩呀你,1
阿里簿,边本-,1
里簿书,本-书,1
簿书-,-书系,1
书-是,书系你,1
-是侬,系你㗎,1
是侬额,你㗎-,1
---,梦玩条,1
--钥,玩条锁,1
-钥匙,条锁匙,1
钥匙孛,锁匙-,1
匙孛相,匙--,1
孛相勿,---,1
相勿来,--啦,1
勿来个,-啦-,1
只老鼠,只老鼠,1
老鼠死,老鼠生,1
鼠死个,鼠生-,1
死个还,生-定,1
个还活,-定死,1
还活个,定死架,1
侬哪能,你点呀,1
侬会得,你识唔,1
得-讲,唔识讲,1
-讲英,识讲英,1
讲英文,讲英文,1
英文伐,英文㗎,1
谢谢侬,---,1
谢侬噢,--唔,1
侬噢-,-唔该,1
阿拉学,我哋学,1
拉学习,哋学-,1
学习中,学-中,1
习中国,-中-,1
中国言,中-文,1
国言话,-文-,1
悉尼是,悉尼系,1
尼是澳,尼系澳,1
是澳大,系澳-,1
澳大利,澳--,1
大利亚,--洲,1
利亚最,-洲最,1
亚最大,洲最大,1
大个城,大嘅城,1
个城市,嘅城市,1
世界哴,世界-,2
界哴向,界-上,2
哴向有,-上有,2
向有超,上有超,2
有超过,有超过,2
超过八,超过八,2
过八十,过八十,2
八十万,八十万,2
十万个,十万-,2
万个人,万-人,2
个人讲,-人讲,2
人讲巴,人讲巴,2
讲巴斯,讲巴斯,2
巴斯克,巴斯克,2
斯克言,斯克文,2
克言话,克文-,2
侬比我,--你,1
比我高,-你高,1
我高-,你高过,1
高--,高过我,1
侬好-,-你点,1
好-伐,你点呀,1
侬为啥,你点解,1
为啥勿,点解-,1
啥勿相,解-唔,1
相信我,唔信我,1
信我-,信我呀,1
-伊拉,佢阿爸,1
伊拉爷,阿爸阿,1
拉爷娘,爸阿妈,1
爷娘对,阿妈对,1
娘对伊,妈对佢,1
对伊期,对佢期,1
伊期望,佢期望,1
期望过,期望过,1
望过高,望过高,1
覅隑了,唔好挨,1
隑了-,好挨埋,1
了--,挨埋埲,1
--墙,埋埲墙,1
-墙头,埲墙度,1
墙头浪,墙度-,1
