cmn,wuu,count
的人说,个人讲,1
人说巴,人讲巴,1
说巴斯,讲巴斯,1
斯克-,斯克言,1
克-语,克言话,1
你们比,侬-比,1
们比我,-比我,1
比我还,比我-,1
我还高,我-高,1
你好吗,侬好伐,1
你们怎,侬为-,1
们怎么,为-啥,1
怎么就,-啥勿,1
么就是,啥勿-,1
就是没,勿--,1
是没相,--相,1
没相信,-相信,1
相信我,相信我,1
信我呢,信我-,1
他父-,伊拉爷,1
父-母,拉爷娘,1
-母对,爷娘对,1
母对他,娘对伊,1
对他怀,对伊期,1
他怀有,伊期望,1
怀有过,期望过,1
有过高,望过高,1
过高的,过高-,1
高的期,高--,1
的期望,---,1
别倚着,覅隑了,1
倚着墙,隑了墙,1
着墙-,了墙头,1
墙--,墙头浪,1
